ticker,weight
GLD,0.14999999998664182
BITO,0.14999999997781438
SLV,0.14999999993211807
FXI,0.14999999985250997
EWG,0.14999999978216727
EWJ,0.10464080428746421
EWU,0.0860863925015052
VUG,0.05927157467453404
QQQ,1.224951694266824e-06
EEM,1.5402746005032202e-09
VGK,8.136907402895102e-10
EFA,3.078567687773954e-10
EMB,1.9980843939788108e-10
VWO,1.6585904995988196e-10
IEF,1.352307111819386e-10
SPY,1.1321529543895611e-10
VNQI,1.0426211594044916e-10
LQD,1.0006685425567197e-10
EWZ,9.968200544658114e-11
SHY,8.892933396779012e-11
HYG,8.72445345101623e-11
TLT,6.607176816993351e-11
IWM,5.269755087417846e-11
VTV,5.2189363657613424e-11
DBC,4.827184917611377e-11
USO,3.3237116038660485e-11
INDA,2.259331896857308e-11
VNQ,2.2369457836693958e-11
