,1/N,Min-Var (LW),Risk Parity,60/40,HRP,MV Robust (Shrunk20)
2020-09-30,1.0028045922569087,0.9993583158949287,1.0027948481446258,1.0034687377450409,1.001616759172698,0.9956714738761333
2020-10-01,1.0080030775059285,0.999961544061567,1.0079896320720385,1.0075613771704066,1.0045513357773392,1.002010537146356
2020-10-02,1.0024137587224198,0.9976852827289127,1.0024071771834826,1.0014246006334977,1.0027648433918517,0.9969516563897226
2020-10-05,1.0155908294853093,0.9992673353147958,1.0155605146516005,1.0095450352867583,1.0073432205992943,1.0007148196224696
2020-10-06,1.0102464262188366,0.998823050124976,1.0102216505527206,1.0018691085121325,1.004731464616527,0.9928327080986603
2020-10-07,1.016776430052611,0.9990118394669921,1.0167433914228377,1.0111754105099864,1.0075682324142379,0.9968302448252189
2020-10-08,1.024496736057769,1.0017794696945368,1.0244533790069688,1.0172883945615405,1.0104050084392617,0.9996870140841826
2020-10-09,1.0308106382884035,1.0043339572689396,1.0307653613484102,1.0225376934070045,1.0126691110849495,1.0102357156046426
2020-10-12,1.0361439039580806,1.0049371247167433,1.0360925885711345,1.032847034748033,1.0158742889949768,1.016022489044953
2020-10-13,1.029876068619313,1.0036767487682783,1.0298309593484363,1.029723741174631,1.0131770146638233,1.0114809996878122
2020-10-14,1.0283120514811503,1.0048175154875851,1.0282695103746058,1.025977485535241,1.0118487535686873,1.01071539832419
2020-10-15,1.0240044126611052,1.00429650737756,1.0239678686637068,1.0247772382561913,1.01027843138158,1.0097956236192276
2020-10-16,1.0236731208279022,1.0025949083894667,1.0236358557080183,1.0241691960933734,1.009007538633338,1.0071678590016282
2020-10-19,1.019438989994509,1.0016073141933168,1.0194057825762102,1.0141509221775638,1.0070008520375322,1.004031427721281
2020-10-20,1.0241682282244335,1.0022377699255343,1.0241271899503772,1.0157169629967195,1.0082786184114831,1.0056722204140225
2020-10-21,1.021848788610663,1.0020636259748565,1.0218125675233778,1.0140252694760614,1.007424325583481,1.006761913271602
2020-10-22,1.0229090266077527,0.9996497760207118,1.022863694699077,1.0159504225599953,1.0075581951430663,1.002610862401472
2020-10-23,1.0248148397333456,1.0000705743639993,1.0247699850547751,1.018594796265575,1.0090839997425152,1.0041249229150977
2020-10-26,1.012784691750079,0.9982710553688563,1.0127558118886948,1.0083837263446,1.0036984165174097,1.0008397068811068
2020-10-27,1.011669319224317,1.0009617076024124,1.0116491222426232,1.00720019632293,1.0030122104542947,1.0043104031488037
2020-10-28,0.9871916356984167,0.9941400464370578,0.9872013779720288,0.9865119390977503,0.9919269522270252,0.9902630926371924
2020-11-05,1.0031404458765485,0.9997517581395792,1.0031340297482174,0.9979904269162192,1.002995930922628,1.0039945711558598
2020-11-06,1.00292514348789,0.9972877765682711,1.002912939182923,0.9964999776160975,1.0031562381102679,1.0033536743398639
2020-11-09,1.0131306628692818,0.9936308642803932,1.0130873560144265,1.0010691617128087,1.004212624828163,0.9862350069552409
2020-11-10,1.0158347301272912,0.9942888496732166,1.0157841618318524,0.9990498829254759,1.0055467935871243,0.9818696718135949
2020-11-11,1.0210258746094534,0.9949902062982643,1.0209701296702702,1.004139437691124,1.0083570655405285,0.9865525493059346
2020-11-12,1.012989934797416,0.9955248748776117,1.012952787943205,1.0005810947056302,1.0046987692781653,0.9888884398263391
2020-11-13,1.02194911989396,0.9971473161171149,1.0218997730243384,1.0083596770027627,1.0109714261793477,0.9925888817544443
2020-11-16,1.0308766406757244,0.999785700324169,1.0308134983837862,1.015609227747065,1.0160550885822448,0.9946472183493346
2020-11-17,1.0308509187819344,1.00062282945252,1.0307852397046608,1.0133822848765228,1.0151513042366256,0.9937618045603613
2020-11-18,1.025775979356351,0.9999317183951684,1.0257188284134067,1.0059300107585336,1.01212441004916,0.9911893447466125
2020-11-19,1.0293698773778726,1.0018427856136987,1.0293079572186377,1.008906251270179,1.0140807191405838,0.9931748322086876
2020-11-20,1.0294554660285289,1.0043700521926475,1.029399653497209,1.0054655336967322,1.0154487624906465,0.9933502112494628
2020-11-23,1.0297704115028583,1.0023285230001029,1.0297074640152994,1.0082808578227929,1.0133825568732866,0.9885359947659712
2020-11-24,1.0397928719048697,1.003075918825673,1.0397082799530175,1.0173918000919275,1.0170457523367424,0.9868332244632257
2020-11-25,1.0399970459195444,1.0030557910855853,1.0399105242056015,1.0165863621449176,1.0158379898073915,0.9881601360786587
2020-11-27,1.0429601868487886,1.004861506790393,1.0428707980645868,1.0195037823370043,1.0173475759466712,0.9872973940145997
2020-11-30,1.0323177524334308,1.0014197865012082,1.0322422667471716,1.0165249657671158,1.0086731053082962,0.9871227103058132
2020-12-01,1.045865065917064,1.0027241451800364,1.045768667678944,1.0210327752511343,1.0186246226198412,0.9949893863212527
2020-12-02,1.0458262709923007,1.0027828136316266,1.045728924873322,1.0216390559640356,1.019643598375886,0.994471584795951
2020-12-03,1.0502902240678211,1.005544613312118,1.050188846385217,1.0225666077852413,1.0241125849218369,0.9972707058422535
2020-12-04,1.0557538687170112,1.0040514816217423,1.0556377398937218,1.026249037809366,1.0267028454524114,0.9957981430884909
2020-12-14,1.054814327013705,1.0036335859453125,1.0547002114126758,1.0232531050915934,1.0252092345922912,0.9953294324318444
2020-12-15,1.0653556885566566,1.0065083283305711,1.065226920078195,1.031144280696149,1.0320933874243534,1.001705541704702
2020-12-16,1.0696774190027565,1.0070462464574839,1.0695435511073665,1.031771282342986,1.0348228773740835,1.0065358177383992
2020-12-17,1.0765341060001004,1.0097758806804977,1.0763925382875708,1.0349334306825904,1.0391871791241187,1.0114478892533283
