ticker,weight
QQQ,0.10000000005092588
VUG,0.1000000000501667
GLD,0.10000000001795419
EWU,0.09999999995948232
IBIT,0.09999999995027836
FXI,0.09999999992757672
SPY,0.09999999986278092
EWG,0.071389599691653
VGK,0.06219525721952207
EWJ,0.06209822720302833
EMB,0.05431690778265492
SLV,0.05000000006996903
EEM,7.614087124945919e-09
EFA,1.95002893615429e-10
IEF,1.56407295711898e-10
EWZ,1.2164860196101166e-10
VNQI,1.133151848754073e-10
VWO,7.81050975479437e-11
VTV,6.432384437192341e-11
SHY,4.6656592877009166e-11
TLT,2.8901811347079192e-11
HYG,1.8691613538975002e-11
DBC,1.000541475375207e-11
ETHA,-2.3646961795775574e-12
IWM,-3.202237340525636e-11
USO,-3.625207779940486e-11
LQD,-4.379487871604282e-11
VNQ,-4.551308320706013e-11
INDA,-7.319078262984629e-11
