ticker,weight
GLD,0.14999999998663455
BITO,0.1499999999778026
SLV,0.14999999993208257
FXI,0.14999999985243306
EWG,0.14999999978205417
EWJ,0.10464098825537624
EWU,0.08608641028536523
VUG,0.0592713719633374
QQQ,1.2259092284193211e-06
EEM,1.5410829615085222e-09
VGK,8.141270710528769e-10
EFA,3.080200104987076e-10
EMB,1.9991284783142954e-10
VWO,1.6594422344803254e-10
IEF,1.3530159531673584e-10
SPY,1.1327445552603732e-10
VNQI,1.0431667842442305e-10
LQD,1.0011879876087878e-10
EWZ,9.973428476341849e-11
SHY,8.897571360354759e-11
HYG,8.729022127591084e-11
TLT,6.61065063009783e-11
IWM,5.272520563281499e-11
VTV,5.221671292311891e-11
DBC,4.829716783676243e-11
USO,3.325458754015692e-11
INDA,2.260525540916303e-11
VNQ,2.2381269735913633e-11
