date,return
2020-09-25,0.004438263014957993
2020-09-28,0.0068472695031790674
2020-09-29,0.0008130319217938461
2020-09-30,-0.0021371530071427627
2020-10-01,0.006043409777513505
2020-10-02,-0.006945328715202092
2020-10-05,-0.00010784158042738365
2020-10-06,-0.004857780561599336
2020-10-07,0.0017936375231314174
2020-10-08,0.00386102257405231
2020-10-09,0.007167420669293302
2020-10-12,0.007849167071576138
2020-10-13,-0.0015964985297415252
2020-10-14,-0.0005058536835249541
2020-10-15,-0.0013836310039259839
2020-10-16,-0.0027745408474450866
2020-10-19,-0.004945221428777141
2020-10-20,-0.0012109478131704617
2020-10-21,6.342408133566904e-05
2020-10-22,-0.0050081629406948285
2020-10-23,0.002213640060821655
2020-10-26,-0.0011575708523750288
2020-10-27,0.004375957341897813
2020-10-28,-0.01307631449007318
2020-10-29,-9.831107006089331e-05
2020-10-30,-0.008042216747903655
2020-11-02,0.005318707573999823
2020-11-03,0.0038821052593382174
2020-11-04,0.018146625607341864
2020-11-05,0.011538507844015477
2020-11-06,-0.0031679579615056844
2020-11-09,-0.01928589337713214
2020-11-10,-0.005112862552654654
2020-11-11,0.005254697123210485
2020-11-12,0.005038039812503418
2020-11-13,0.0033564249574513493
2020-11-16,0.0019559086750154113
2020-11-17,0.0007381419279825226
2020-11-18,-0.002281635862150635
2020-11-19,0.0034886405873526564
2020-11-20,0.000934131482858989
2020-11-23,-0.004799066698864419
2020-11-24,-0.0024911182907738664
2020-11-25,0.0005592018208223392
2020-11-27,0.0032051896703297745
2020-11-30,-0.0013733308565460772
2020-12-01,0.0027246501961772683
2020-12-02,-0.0007166054792450602
2020-12-03,0.004912786448985556
2020-12-04,-0.004166425824177103
2020-12-07,0.006672086594003775
2020-12-08,0.002415950489092792
2020-12-09,-0.009861616941701774
2020-12-10,0.003816918874193827
2020-12-11,0.0010334726175901217
2020-12-14,-0.0005669602764756446
2020-12-15,0.004727689591112356
2020-12-16,0.001518044473780812
2020-12-17,0.0032230051966489997
2020-12-18,-0.0019360439333482964
2020-12-21,-0.0007745729718294044
2020-12-22,0.000599795130148753
2020-12-23,-0.0011762588476107803
2020-12-24,0.0034530830340311776
2020-12-28,0.0017512108828538768
2020-12-29,0.0006404874168851454
2020-12-30,0.0023681731831019077
2020-12-31,0.00184175473406964
2021-01-04,0.00018119091368723697
2021-01-05,-6.550240256083221e-05
2021-01-06,-0.012515399143070292
2021-01-07,0.0022983459330973522
2021-01-08,-0.005454320993321788
2021-01-11,-0.004926287574894999
2021-01-12,0.0011581860744476428
2021-01-13,0.004843646883126495
2021-01-14,-0.0043441610441000535
2021-01-15,-0.002671738050643626
2021-01-19,0.005901355429822373
2021-01-20,0.008531726221751806
2021-01-21,-0.0008701424510537799
2021-01-22,-0.0014259538279405364
2021-01-25,0.0058380111146123055
2021-01-26,-0.0007028803155023641
2021-01-27,-0.008512013563553739
2021-01-28,-2.4873572758629808e-05
2021-01-29,-0.007885041723631019
2021-02-01,0.00978824580448399
2021-02-02,0.00010044315653718964
2021-02-03,-0.0033031142074138277
2021-02-04,-0.0022214765330461077
2021-02-05,0.0008987364428129309
2021-02-08,0.005250246270827035
2021-02-09,0.0017073604981296612
2021-02-10,0.0025717177992133824
2021-02-11,-0.0012731165399719737
2021-02-12,-0.0028455021253790133
2021-02-16,-0.008447975930540174
2021-02-17,-0.0010413781624821455
2021-02-18,-0.0030576935035508536
2021-02-19,-0.003851233638578387
2021-02-22,-0.007213473613535537
2021-02-23,-0.0008961495259212416
2021-02-24,-0.0004668067473818076
2021-02-25,-0.020343899077713706
2021-02-26,0.0009032025770159452
2021-03-01,0.0032491439603228515
2021-03-02,-0.0019692149463085714
2021-03-03,-0.009344662460000756
2021-03-04,-0.005319171363063402
2021-03-05,0.0077824303364427486
2021-03-08,-0.013964979073139634
2021-03-09,0.015937574689206865
2021-03-10,0.0020581311871541545
2021-03-11,0.008131692590713013
2021-03-12,-0.00951560552736208
2021-03-15,0.0034082287955063315
2021-03-16,-0.00010416723005744519
2021-03-17,-2.2706529828486266e-05
2021-03-18,-0.020648432465256546
2021-03-19,0.007405371012715967
2021-03-22,0.005949541879806133
2021-03-23,-0.005741079778096316
2021-03-24,0.0019385605301211902
2021-03-25,-0.0070290845349586534
2021-03-26,0.008506982693847387
2021-03-29,-0.00163565734107716
2021-03-30,-0.003417931694256513
2021-03-31,0.004857084529604556
2021-04-01,0.01204642299333451
2021-04-05,0.0037583290322074003
2021-04-06,0.0013327492241217015
2021-04-07,-0.0011012993879226784
2021-04-08,0.006443639642608952
2021-04-09,0.00027584839509187895
2021-04-12,-0.0016271584032911744
2021-04-13,0.006043741248833493
2021-04-14,0.002730560807287176
2021-04-15,0.009062396529747935
2021-04-16,0.0003937833281074306
2021-04-19,-0.0031107500827463916
2021-04-20,-0.005588412277085844
2021-04-21,0.005282659786393986
2021-04-22,-0.0023711529959197734
2021-04-23,0.008882157753633877
2021-04-26,0.002928116132058638
2021-04-27,-5.6286247386489924e-05
2021-04-28,0.0017171546388625467
2021-04-29,0.0029625502285716104
2021-04-30,-0.009727674306766285
2021-05-03,0.0037261733346160768
2021-05-04,-0.0071586934988602715
2021-05-05,0.0036409955043711756
2021-05-06,0.007708760634395686
2021-05-07,0.009055648609647218
2021-05-10,-0.01322734789066586
2021-05-11,-0.0030697616320099876
2021-05-12,-0.01794946463051978
2021-05-13,-0.0003307294248258409
2021-05-14,0.015774219268436362
2021-05-17,0.000515245093642609
2021-05-18,-0.0007166894453458012
2021-05-19,-0.006683489731746188
