,1/N,Min-Var (LW),Risk Parity,60/40,HRP,MV Robust (Shrunk20)
2020-09-30,0.0028045571721260665,-0.0006417378038706226,0.002794813018699438,0.0034684717782847317,0.0016166773805856177,-0.004328548881131385
2020-10-01,0.005183971902862626,0.0006037997336074798,0.005180331506513408,0.004078779839344282,0.002929941126197968,0.006366680903675154
2020-10-02,-0.005544939648888983,-0.002276461388568867,-0.0055382043433726425,-0.0060908331674564215,-0.0017784341286362318,-0.005048785857542194
2020-10-05,0.013145322695694125,0.0015856110722328412,0.013121732622845267,0.008108795460765837,0.0045656506213637305,0.003774602824836643
2020-10-06,-0.00526232977001363,-0.00044445267840073323,-0.00525703239815475,-0.007603495508257852,-0.0025926096909136827,-0.007876356602811368
2020-10-07,0.006463725042392331,0.0001889074203075393,0.006455704097065715,0.009288882093246588,0.0028232876671551443,0.004026309703476616
2020-10-08,0.0075929464324953665,0.0027704414835199587,0.007583044808053373,0.006045740714434445,0.0028154868375289328,0.002865910555491777
2020-10-09,0.006162945211537107,0.0025498783359981505,0.006161331807609122,0.0051599176498411834,0.0022408220517312716,0.01055200367512886
2020-10-12,0.005173775875877701,0.0006005285702380783,0.005168144964371412,0.010082227430293543,0.0031650658453841476,0.005728073205601367
2020-10-13,-0.006049148411848502,-0.0012541488127808384,-0.0060434580608136395,-0.0030239637186193265,-0.002655097799623022,-0.004469854700668392
2020-10-14,-0.001518668628486505,0.0011365516313912158,-0.001516241381160049,-0.0036383430014027994,-0.001311028839973773,-0.0007569440948324369
2020-10-15,-0.004188950337865367,-0.0005183597898621689,-0.004183291287703421,-0.0011696594503956658,-0.0015517813937637077,-0.0009098277803197485
2020-10-16,-0.00032359813801128597,-0.0016943993796985695,-0.00032431399708986685,-0.0005933123775356153,-0.0012580359297016271,-0.002602379035390648
2020-10-19,-0.0041362052841720275,-0.0009850495329764705,-0.0041323919003405365,-0.009781854587779183,-0.001988794708310535,-0.0031142054480806113
2020-10-20,0.004639108130939618,0.0006294792115598127,0.004631577473255708,0.001544160403559802,0.0012688757436699538,0.001634316896426992
2020-10-21,-0.002264730205112083,-0.00017377596684029935,-0.0022601172853254606,-0.0016654022938157097,-0.000847275629218886,0.0010834857800605072
2020-10-22,0.0010375673790461182,-0.002408891630995608,0.0010286878373960602,0.0018984108807649665,0.00013283399060338074,-0.00412314840417515
2020-10-23,0.0018631597734786712,0.00042104534747890924,0.0018637089817379793,0.002602686160154599,0.0015144053609444628,0.001510113347512328
2020-10-26,-0.011738896031566769,-0.0017994738286472665,-0.011723821208348754,-0.010024466321392577,-0.005337119278274445,-0.0032716660122379163
2020-10-27,-0.0011013092073830345,0.002695243063598894,-0.0010927670868636674,-0.0011736613572287833,-0.0006837458569230663,0.0034677123917588922
2020-10-28,-0.024195360389822035,-0.006815138008130165,-0.02416624897020979,-0.02054044717091705,-0.01105197796255359,-0.013987080918480048
2020-11-05,0.01615573842189866,0.005644734960100992,0.016139211028295294,0.011635570004609484,0.011159005360447756,0.013866422978823208
2020-11-06,-0.00021459643839712885,-0.0024644969131184056,-0.000220367804365986,-0.001493419205511848,0.00015993528540647273,-0.0006382646958522437
2020-11-09,0.010175785696370676,-0.003666798090919148,0.010144897193545341,0.004585004813929049,0.0010530109625806116,-0.017061499316341995
2020-11-10,0.0026690290589580887,0.0006621845090891065,0.0026619756028136168,-0.002017064782835454,0.0013286092603824497,-0.004426179949822886
2020-11-11,0.005110171088063056,0.0007053129112972098,0.005105329268631509,0.005094479452549016,0.0027947228765787544,0.004769359674545863
2020-11-12,-0.007870405568114684,0.0005375148520241021,-0.007852619081606482,-0.003543534651000546,-0.0036279390237592994,0.002367748833266148
2020-11-13,0.008844265832382587,0.0016296856282039928,0.00883254611036743,0.007773811446008149,0.006243283653308571,0.003741947579174022
2020-11-16,0.00873576857209336,0.0026458887954604335,0.008722690600428126,0.007189530929535114,0.005028446854992865,0.002073644487299272
2020-11-17,-2.4897280755138392e-05,0.0008373653955868536,-2.735976473181312e-05,-0.0021926296685488506,-0.0008894011993109705,-0.0008900011632847432
2020-11-18,-0.004923145836703472,-0.0006907706031111878,-0.004915186087106909,-0.007354246083764914,-0.0029817758062118524,-0.002588745752680112
2020-11-19,0.0035035876308964404,0.001911163859609081,0.0034991331617828963,0.0029590847013321042,0.001932883021842815,0.0020031204759732523
2020-11-20,8.318937072062734e-05,0.0025227012303830365,8.912814512231708e-05,-0.0034102555754774496,0.0013490226264955987,0.00017664070072996975
2020-11-23,0.00030590306244657667,-0.002032698351814478,0.0002989883763730723,0.0027998531726217022,-0.002034759393986672,-0.004846581211787255
2020-11-24,0.009732795119231722,0.0007457598919766993,0.00971237013850501,0.009036108026941525,0.003614876866011975,-0.0017223536152599257
2020-11-25,0.00019633192506012025,-2.0128045836090573e-05,0.00019449178590144543,-0.0007917486454148027,-0.0011875293755006363,0.001344554038575814
2020-11-27,0.0028491713411115537,0.0018002001738560973,0.002846651408787629,0.0028700180946497067,0.0014860669366292825,-0.0008730661823646616
2020-11-30,-0.010204092003611203,-0.003425091510896095,-0.010191635113789158,-0.0029220487730951426,-0.008526634195589265,-0.00017701025692872064
2020-12-01,0.013123185402950108,0.0013025277427286608,0.013103885809202754,0.004434750373283824,0.009865956509345814,0.007969347288266447
2020-12-02,-3.704627765556179e-05,5.855530863502396e-05,-3.795611779325311e-05,0.0005938087584551608,0.0010003938430133425,-0.0005203708706095668
2020-12-03,0.004268306004102747,0.0027540474476209927,0.004264847966985137,0.0009075804223727113,0.0043828305503182795,0.0028146582639533967
2020-12-04,0.005202058089512555,-0.0014848441668425297,0.005188514121963792,0.0036012005926884688,0.0025292726670584223,-0.001476541084766679
2020-12-14,-0.0008899684249381667,-0.0004162613707948657,-0.0008881592680862546,-0.0029193576786867626,-0.0014548365216157314,-0.0004707518599813407
2020-12-15,0.00999358052695568,0.0028643415383485596,0.009980768978581502,0.007711988948401194,0.006714886431923274,0.006406047468395025
2020-12-16,0.004056643550253607,0.0005345326952563892,0.004052346759946353,0.000608039497373447,0.002644661713668133,0.004822075570014212
2020-12-17,0.0064100424585622874,0.0027105451992340732,0.0064036455704770245,0.003064686183288856,0.004217476046066194,0.004880154956805995
2020-12-18,-0.002825496849928928,-0.00046187316545130534,-0.002822645411274006,-0.002729840024852548,-0.002076676734074561,-0.0018299696840632135
2020-12-21,-0.008037884829408716,-0.0023159038007355315,-0.008023481262793633,-0.0018777827469391717,-0.005564635107037332,0.0010187004235023395
2020-12-22,-0.002343758189559732,-0.0008069760219383354,-0.002343491736964771,-0.00034271489214554585,-0.002274087400697373,-0.0031727198372663986
2020-12-23,0.006017880002942345,0.001824385900119474,0.006010980635838591,-0.0002951058222041336,0.004879916045499581,0.0005813457234703451
2020-12-24,0.0018541804584491486,0.001525152803178574,0.001852587238426461,0.002902809298491249,0.000778000639611552,0.002137816827351078
2020-12-28,0.0029548206660603006,5.12532460737398e-05,0.002952633160544458,0.005187907966357131,0.0009467031220146313,0.0036802953907730173
2020-12-29,0.0025678866319631026,0.0013913832654469129,0.002565297143886579,-0.0012115998788817528,0.0035261749114436623,0.0005078211532086593
2020-12-30,0.0038135860829630703,0.002081543967837389,0.003812475035119096,0.001123374303042146,0.0036513184814840347,0.0033685241521409105
2020-12-31,-0.00027926155388756217,0.001334547814887732,-0.00027765006808366555,0.0033153731157106845,-0.00011082074293115887,0.00041828434133570855
2021-01-04,-0.002278760474027304,-0.00014426730564661236,-0.002270852650811092,-0.008068440880529736,0.0028458112315792932,0.0018312909755487264
2021-01-05,0.009869979152983044,0.0025565674037010943,0.009857245771340178,0.0031990488617164464,0.006685065404589687,0.002854147376936853
2021-01-06,0.0006109387987153446,-0.004461061326022278,0.0005992361544176634,0.0012478422557470111,-0.0017620924650688663,-0.009370036575867463
2021-01-07,0.004119485962298401,-0.00087049382295316,0.004109503801917824,0.0075027487132197195,0.0016567885664211118,0.003242562977271902
2021-01-08,0.004121994537086083,-0.0017737839978751863,0.004106023805396065,0.0022717795654942476,0.0005197079490161527,-0.007836117100435849
2021-01-11,-0.008940212892828387,-0.003155120310192444,-0.00892895215108811,-0.0048226582773631226,-0.006046095926323947,-0.005615181657713206
2021-01-12,0.006840625044557862,0.003087918364145192,0.006829535750662484,5.879353674820287e-05,0.00398253126599922,0.003144865008564287
2021-01-13,0.00025677914006014377,0.0021796157317525767,0.0002620674987142018,0.0030059418098215664,0.00041179775783272955,0.0017998926959195863
2021-01-22,-0.005010735574437328,-0.0022188596583756215,-0.005003969814002092,-0.0015155159309996778,-0.003780399680535444,-0.002286894483107658
2021-01-25,0.0017637322208250159,0.003582905925170547,0.0017689400350874274,0.003985319624150696,0.002107453470720639,0.003030256604076041
