date,equal_weight,hrp,min_variance_lw,risk_parity,shrunk_mv,sixty_forty
2020-10-07,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0
2020-11-12,0.0,0.375219846866782,0.021003034628582808,0.004044012880638935,0.1777653267249391,0.0
2020-12-21,0.0,0.450690795859138,0.014451807823314898,0.0037379327493768377,0.19066790337457912,0.0
2021-01-29,0.0,0.10370617259533159,0.01210261847852089,0.002454389359358799,0.3630959223055036,0.0
2021-03-09,0.0,0.49455570539162197,0.02510997969095901,0.004313984222821201,0.4226988019822276,0.0
2021-04-15,0.0,1.064849306697627,0.26291626638387894,0.1147209060238391,1.4840543959266874,0.0
2021-05-21,0.0,0.8273067776298071,0.08742313783926972,0.01444790779879933,1.0337040999434195,0.0
2021-06-29,0.0,0.8683734538199899,0.06636116316651663,0.013930767229022697,0.3411916446678128,0.0
2021-08-05,0.0,0.20532452398840487,0.026670742872963015,0.004095871605870077,0.45633371077468754,0.0
2021-09-13,0.0,0.412678284616203,0.029283975490586204,0.001631025334988087,0.7713734242961091,0.0
2021-10-19,0.0,0.8063411805252553,0.03376560916668538,0.005587522409182394,0.6079546031039214,0.0
2021-11-24,0.0,0.7311151300474126,0.06391041400376538,0.0067330336805787195,0.36807042579677063,0.0
2022-01-03,0.0,0.6969262967834547,0.030395777820010766,0.004082052373316762,0.5112402351906515,0.0
2022-02-09,0.0,0.5169009575244496,0.039623407958503505,0.0028664648749127993,0.6990856080128154,0.0
2022-03-18,0.0,0.6546422048762115,0.09891046663121875,0.005768061905408578,0.5362001445609649,0.0
2022-04-26,0.0,0.5624231998162464,0.0738680409325335,0.0039954386720459575,0.31974493476443394,0.0
2022-06-02,0.0,0.5529170663079481,0.027775432719250447,0.011800459206076846,0.24808871349561956,0.0
2022-07-12,0.0,0.9186632029304034,0.0885748539242595,0.010254534707500146,0.737253351006248,0.0
2022-08-17,0.0,0.7689725632588786,0.03761722777656507,0.0032240806911649055,0.4066701868434866,0.0
2022-09-23,0.0,0.7582772767932376,0.024945334034386448,0.006811443616072523,0.344099520622653,0.0
2022-10-31,0.0,0.6830142969559145,0.029097426149974813,0.008036924004974064,0.5025122507655433,0.0
2022-12-07,0.0,0.964977749838665,0.022889700918393017,0.008490393561823077,0.36211411512840785,0.0
2023-01-17,0.0,0.4949582482113157,0.020840756430777943,0.0037344738889260355,0.42191233617257035,0.0
2023-02-23,0.0,0.6806117806491814,0.015344777719809456,0.0027113137443664694,0.3414229772666212,0.0
2023-03-31,0.0,0.6577547212689091,0.04746426655431804,0.005606579193467831,0.48332122554241225,0.0
2023-05-09,0.0,0.501693995633843,0.026431254551949127,0.0037696014948966298,0.33367704338038323,0.0
2023-06-15,0.0,0.7319222942832575,0.049736853019669854,0.010179067812574391,0.66200929334329,0.0
2023-07-25,0.0,0.3576408455188174,0.04920823176428465,0.009221563245884782,0.9795410807863573,0.0
2023-08-30,0.0,0.5414934844230312,0.026016245605009015,0.004963687488047638,0.7999959795837996,0.0
2023-10-06,0.0,0.5868889256910439,0.032235086973135964,0.006655691376296933,1.0016765097810307,0.0
2023-11-13,0.0,0.47636675938851286,0.05091951005946829,0.007668496931257035,0.8118102168346577,0.0
2023-12-20,0.0,0.7115451903023654,0.04283249569305207,0.009251589458193184,0.5357851750706157,0.0
2024-01-30,0.0,0.6136005691059073,0.17880130815762788,0.0038543552916759823,0.47815283688068405,0.0
2024-03-07,0.0,0.2306698471186509,0.2014141509545386,0.003023303764921525,0.4962306733509272,0.0
2024-04-15,0.0,0.6558756505897007,0.14732122980832055,0.005205562242588465,0.5272263475653909,0.0
2024-05-21,0.0,0.5282303355355591,0.0957885510983358,0.0030897777169542825,0.474987675238718,0.0
2024-06-28,0.0,0.589047040413441,0.04351365494051899,0.002497227311070294,0.7291517717365676,0.0
2024-08-06,0.0,0.5983067868453542,0.07666337099055383,0.0021442907320366085,0.6010722344454539,0.0
2024-09-12,0.0,0.7711923351612433,0.22490494089676075,0.007841975647316373,0.46300113047462027,0.0
2024-10-18,0.0,0.6155755668974084,0.08880838550597185,0.003200963819148441,0.6837210004561343,0.0
2024-11-25,0.0,0.6192652331991394,0.0906267970794996,0.0045851067071222915,0.5586226296135748,0.0
2025-01-03,0.0,0.4570988891560652,0.0752878605966318,0.003051164710626839,0.41334346829379415,0.0
2025-02-12,0.0,0.41290383074361403,0.05326820550653144,0.0018448956186197674,0.6027392053430297,0.0
2025-03-21,0.0,0.42855105141380656,0.08339277496434631,0.002994414196865398,0.541503698854985,0.0
2025-04-29,0.0,0.45852841356867474,0.2343412378689057,0.022184800157306797,1.262506195082038,0.0
2025-06-05,0.0,0.5975443153889897,0.05676996788950411,0.003857395536789635,0.5206579174519447,0.0
2025-07-15,0.0,0.5734039570656002,0.029180923719925686,0.0019057910407693866,0.6480807091222718,0.0
2025-08-20,0.0,0.5652292616653115,0.040901857340467196,0.006454499423404198,0.6997215604860256,0.0
2025-09-26,0.0,0.6654165661540241,0.02665703664096529,0.0027166305087134354,0.4722677103982458,0.0
