strategy,total_return,annualized_return,volatility,sharpe,cvar_95,max_drawdown,avg_turnover,total_cost,sharpe_ci_low,sharpe_ci_high
equal_weight,0.05807546469290337,0.9687915004308529,0.09424144731668693,7.2425798869711855,-0.007871432896093015,-0.00821975320110091,1.0,0.003,,
risk_parity,0.04009824295858988,0.6028480480495308,0.07209676621605882,6.584139681118904,-0.005930542019163778,-0.006256717839038806,1.0,0.003,,
sixty_forty,0.01850636942389805,0.24613470533286752,0.05668067973455476,3.9108831338743064,-0.005516551260175636,-0.007616921991599024,1.0,0.003,,
hrp,0.009822065744986341,0.12444514960163677,0.0329467270698154,3.576506629290732,-0.003988491714968255,-0.0035694118832496624,0.9999999999999999,0.0029999999999999996,,
shrunk_mv,-0.01008696943016607,-0.11454908163914923,0.06117346737804925,-1.9590216215298621,-0.008867868389085078,-0.01766642441773625,1.0,0.003,,
min_variance_lw,-0.004387764072685374,-0.051400907991945965,0.023345519902293936,-2.2489775544311916,-0.003760124393263773,-0.004836205543394478,1.0,0.003,,
regime_mv,-0.011704684007833643,-0.13175789191463028,0.04317642157172928,-3.2507432725418557,-0.006050422877788619,-0.011884773874054733,1.0,0.003,,
