strategy,total_return,annualized_return,volatility,sharpe,cvar_95,max_drawdown,avg_turnover,total_cost,sharpe_ci_low,sharpe_ci_high
hrp,0.02957242404869498,0.19108131503328085,0.08293009283632477,2.1497328569205454,-0.008680969244485527,-0.012714746959284096,0.7859387296056843,0.004715632377634107,,
risk_parity,0.028994573382020494,0.18707595062248705,0.13497913038257725,1.3367438661477777,-0.0147059435324886,-0.021886679537962306,0.5047271733895026,0.0030283630403370155,,
sixty_forty,0.024817272517018152,0.15845353466534706,0.1294712818225285,1.1995014545647305,-0.014018807415876923,-0.028814690763291906,0.5,0.003,,
equal_weight,0.02682592164299158,0.17214392747426355,0.14381654123673163,1.1748571390387226,-0.015484168056198934,-0.0238144274491201,0.5,0.003,,
min_variance_lw,0.0006101066623243057,0.0036662279701176193,0.03064075385262637,0.1343898037457485,-0.0037208807538317303,-0.007031296299097156,0.5124239846792784,0.0030745439080756705,,
regime_mv,-0.002898075632019048,-0.01726295690930657,0.03587156655521023,-0.467906972509515,-0.00508097436125253,-0.011163119608143757,0.5418179617846745,0.0032509077707080472,,
shrunk_mv,-0.016182484098602568,-0.09325054574348035,0.08096286689177563,-1.1693318380862157,-0.00992987273999406,-0.030600614125803394,0.7435070141526154,0.004461042084915693,,
