strategy,turnover_median,turnover_p95,n_windows
equal_weight,0.0004574424310858557,0.0009713374005022899,1072
risk_parity,0.0004359010812536276,0.0009258129793386572,1072
sixty_forty,0.00037406898396683403,0.0008519173586937597,1072
hrp,0.0002661617748554878,0.0005662754580323076,1072
min_variance_lw,0.00013032965959632671,0.00021977878325787976,1072
mv_huber,0.000662342407906051,0.0011930942285082308,1072
shrunk_mv,0.0005246437571269265,0.0010268669869401103,1072
shrunk_20,0.0006322306877447377,0.0011576819104387656,1072
