strategy,total_return,annualized_return,volatility,sharpe,cvar_95,max_drawdown,avg_turnover,total_cost,sharpe_ci_low,sharpe_ci_high
equal_weight,0.2755592507383704,0.05777294474863526,0.11179826767525183,0.5583150999110251,-0.016342014174841657,-0.19088396987986966,0.019230769230769232,0.003,,
risk_parity,0.2527176790576646,0.05337136725280889,0.10633122024411286,0.5421869212752816,-0.015535141016668886,-0.18232562943772146,0.026699548969963512,0.004165129639314306,,
sixty_forty,0.2437840666087383,0.051633054548571033,0.0961693594633567,0.5715585067049848,-0.014047007934814594,-0.18619326593086716,0.019230769230769232,0.003,,
hrp,0.0511955823477912,0.011588517096742468,0.06424538825845656,0.2114556850549617,-0.009561686435682346,-0.16373086738992082,0.48783362375361655,0.07610204530556419,,
min_variance_lw,0.07739673752676257,0.017352145384213813,0.028477625934739136,0.618349876632583,-0.004112086853418657,-0.07917302182539221,0.08595944677744406,0.013409673697281278,,
mv_huber,0.17458899647930792,0.037833109952924104,0.1535011981698015,0.3188217180993951,-0.023755761677915446,-0.2528679601833277,0.48788944125317624,0.07611075283549548,,
shrunk_mv,0.22813633257098642,0.048565017326104964,0.12438572987105272,0.44363635305176613,-0.01977450080075328,-0.1879187215941761,0.5159972081868195,0.08049556447714384,,
shrunk_20,0.23547891304090296,0.05000839212198116,0.1456381021700722,0.40812607131314904,-0.022688308353875072,-0.22184953809707142,0.5530196512288205,0.08627106559169599,,
