Window End,Sharpe (OOS),Return (OOS),Drawdown (OOS),Turnover,Cost
2011-02-04,2.105503855429483,0.16333735887633183,-0.015066259001252247,0.5,0.0009999999999999998
2011-03-10,-0.11769027820333448,-0.018687087561133908,-0.019308228519350545,0.011876891696873667,2.3757229178185177e-05
2011-04-12,2.3075459707691994,0.24774588600133507,-0.012207730108700576,0.010690811662802687,2.138068365811202e-05
2011-05-16,-1.7158617799868525,-0.2255776184069147,-0.0578385997754588,0.01571498993135749,3.14282991877501e-05
2011-06-17,-2.8076145326703617,-0.28362852908581526,-0.04436521389406756,0.010956240119254567,2.1907382136003544e-05
2011-07-21,3.895723376398405,0.4445374342513253,-0.01778898847774768,0.002165719669029506,4.329711248224516e-06
2011-08-23,-3.9476974905986686,-0.7058093385337596,-0.1186776400354348,0.002625170903010643,5.2444596841645194e-06
2011-09-26,-2.106302741758973,-0.3452001343730281,-0.0805224204464614,0.010166124290927857,2.033066686243105e-05
2011-10-27,4.989443972125628,1.5603358847671749,-0.034038231970451194,0.013135355408287197,2.626752462117333e-05
2011-11-30,-0.09222610584897234,-0.03973836833126865,-0.06420857774707955,4.142342439363185e-06,4.829972245497258e-14
2012-01-04,0.5137739440377079,0.06852089297589758,-0.03869972983205927,0.0017184582385983147,3.432296566525709e-06
2012-02-07,8.67844086453648,0.7055945264407348,-0.007308732018785791,0.0023748416636544508,4.746397301385763e-06
2012-03-12,0.570009430331072,0.04622325476431777,-0.026152338786076368,0.0009056095401070672,1.8054165787596265e-06
2012-04-13,-2.454717849174237,-0.2198784318421072,-0.035631237656447934,0.002934915804285065,5.8633548648377455e-06
2012-05-16,-7.2646949291394955,-0.39658155392559347,-0.04557448289718946,0.00270597875340491,5.408883612592769e-06
2012-06-19,2.842653683640945,0.3466741368886148,-0.02656682108199171,0.0025700270986811777,5.140072397872344e-06
2012-07-23,2.1506633709815177,0.23250596403986323,-0.01885151688222597,0.0012042086091844499,2.4057418801052087e-06
2012-08-23,5.069179471887283,0.4559872227327906,-0.013886266962761629,0.002363610698742739,4.723182561489742e-06
2012-09-26,2.266699253094051,0.1864162598653294,-0.015876035981140846,2.562213910322016e-06,4.262667376831248e-14
2012-10-31,-1.7306532860336739,-0.11647474144204273,-0.023351136016370067,0.0008993557954120196,1.795475069966995e-06
2012-12-04,0.7692474554938109,0.06838704131318174,-0.029805218649856302,3.2023242251044907e-06,3.8875520178745064e-14
2013-01-08,2.450890783070874,0.23073502443112948,-0.015369266745200894,2.7647292439127227e-06,2.5156259850581054e-12
2013-02-11,6.991089335400623,0.3604947635148772,-0.005118658073643534,0.0031240156755834186,6.245471386469259e-06
2013-03-15,3.3881273254294393,0.28222058502896874,-0.01689696765425064,0.004232141022871729,8.459112957585214e-06
2013-04-18,-1.4883682169164258,-0.16490598771817377,-0.03045239566449176,0.0027418495704417396,5.480338981299877e-06
2013-05-21,8.647891804477084,0.7625302751749674,-0.009176183982956276,0.007460590302935052,1.4916747335553499e-05
2013-06-24,-4.188039235868795,-0.4390999328312032,-0.0473260597130013,0.008139056712750697,1.6274046679312525e-05
2013-07-26,7.4368808040119525,0.6429689545122479,-0.011182095980816986,0.006822707265618996,1.3641210625242669e-05
2013-08-28,-1.7311662786438347,-0.12827028146796304,-0.0264756711820624,0.007383008703495252,1.4762381728449448e-05
2013-10-01,4.293918331548623,0.36812656680133915,-0.018789586526275603,0.0019281171323427015,3.847122805990181e-06
2013-11-01,3.878670705890619,0.36589139495587486,-0.011318567057000961,0.004571295887636004,9.140544790425138e-06
2013-12-05,0.47812095490492,0.029346588806506313,-0.012756275387088789,0.0057052588128491295,1.140658796682534e-05
2014-01-09,1.6031590996686615,0.10938825883901115,-0.010402945860013557,0.003706433702525715,7.4110653921961516e-06
2014-02-12,-0.5708472827780381,-0.06388773496168532,-0.04227525745575822,0.006387703445329549,1.2775648275113077e-05
2014-03-18,1.92128677339166,0.1390685673447567,-0.016387697804554846,4.813190455175571e-06,7.926608228057265e-14
2014-04-21,1.3904323708294448,0.11303862903993189,-0.023640920584234726,0.004494176488358162,8.98153034548474e-06
2014-05-22,0.15091720197448089,0.006674162303640374,-0.010582015824096902,0.003705686665597547,7.405538766650214e-06
2014-06-25,7.120506079514886,0.3534053970486708,-0.0071978087989822415,0.0006936720273491854,1.379169184108001e-06
2014-07-29,-2.194394505378037,-0.10788813761332072,-0.015467134495355195,0.003952763089809448,7.896024220681235e-06
2014-08-29,5.227641656445348,0.30718873725737406,-0.008921318048752847,4.167219602147334e-06,3.0390124276951337e-14
2014-10-02,-5.499320216652619,-0.30102298928655424,-0.029589049474412543,0.0007459691701843825,1.489540480223894e-06
2014-11-04,1.7067563717744576,0.20622365147805288,-0.031099802213859107,0.003863854318754394,7.724966166820083e-06
2014-12-08,-1.5024152702550326,-0.08568419095697122,-0.017511945261828532,0.006992123225063682,1.397608174002589e-05
2015-01-12,-0.49007411091863445,-0.059255409201091624,-0.027392910683263216,0.007331675462859386,1.4661870437427332e-05
2015-02-13,3.8232784520702943,0.3806152937330387,-0.018613544389683767,0.0023303142771805754,4.657444631572913e-06
2015-03-19,0.28984154092991743,0.019593765700290255,-0.022459985900809887,0.005642881657512835,1.1276274260940095e-05
2015-04-22,0.8593132940221045,0.05212054341029759,-0.0104482111496208,0.0006521803881201728,1.2969875351141633e-06
2015-05-26,-1.011181949352768,-0.0776161600028431,-0.015360599865404723,0.003470976194140893,6.935097221514328e-06
2015-06-26,-1.7835663386855023,-0.09680414072984533,-0.01272142662736675,4.236231806677524e-06,3.488181586688672e-14
