date,SPY,QQQ,IWM,EFA,VGK,VPL,EWJ,EWG,EEM,EWZ,INDA,MCHI,EWU,EZA,XLC,XLY,XLP,XLE,XLF,XLV,XLK,XLI,XLB,XLRE,XLU,USMV,MTUM,QUAL,VLUE,SIZE,VYM,SCHD,SPLV,VUG,VTV,VNQ,VNQI,O,PSA,SHY,IEI,IEF,TLT,TIP,VGSH,VGIT,AGG,MUB,LQD,HYG,VCIT,VCSH,EMB,EMLC,BNDX,GLD,SLV,PPLT,DBC,USO,UNG,DBA,CORN,UUP,IBIT,ETHA,FBTC,GBTC,ETHE
2011-12-05,0.0,0.0,0.09384612748006463,8.818245244717513e-07,0.0,0.0,0.09209751743593507,0.006986789368514048,0.0,0.0,0.0,0.0,0.0009347054108528233,0.0,0.0,0.0,0.099999237584356,0.09595609768946402,0.08070359534393155,0.010928102370764794,0.0,0.09599334354988666,0.0,0.0,0.004182855781260478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04143056766639066,0.0,0.0,0.0,0.0,0.09582857992498882,0.059790591880175194,0.0,0.026221687178815244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0735581166489608,0.0,0.0,0.006255619760647882,0.013201147186434206,0.006308888816052652,0.0,0.09577554709797993,0.0,0.0,0.0,0.0,0.0
2012-01-09,-0.0,-0.0,0.09463700204080533,8.544334033904992e-07,0.0,0.0,0.09010931021809658,0.006579456185930607,0.0,0.0,0.0,0.0023733135935099297,0.0009369736203475802,0.0,0.0,-0.0,0.10000051031620369,0.09544214097727238,0.08285596444963411,0.011519124756523929,-0.0,0.09872123090649965,-0.0,0.0,0.004235087720369172,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.042829142745615605,-0.0,0.0,-0.0,-0.0,0.09594212741963731,0.06010584377948788,-0.0,0.026310851831127503,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.06548746851066696,-0.0,-0.0,0.006244536152427013,0.011246818876657044,0.0063456120467179754,-0.0,0.0980766294190663,0.0,0.0,0.0,0.0,0.0
2012-02-10,0.0,0.0,0.09854370874911672,9.214673812203576e-07,0.0,0.0,0.09187431175084343,0.007231705083209963,0.0,0.0,0.0,0.0025038810813191492,0.0009534206104222487,0.0,0.0,0.0,0.09758601190695765,0.09486571411188488,0.08630442174074483,0.01129887613918067,0.0,0.09999911102537794,0.0,0.0,0.004050303216656274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04288774491345988,0.0,0.0,0.0,0.0,0.09250900449090114,0.058147198295558526,0.0,0.025971480545676665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07268492139827379,0.0,0.0,0.0058490401551900915,0.008554719501634347,0.0060736780890287495,0.0,0.09210982572718178,0.0,0.0,0.0,0.0,0.0
2012-03-15,-0.0,-0.0,0.09876989040901371,9.521430163129906e-07,-0.0,-0.0,0.09395770673502167,0.0075184111022650974,-0.0,-0.0,0.0,0.0025141410881899763,0.0009508813467748323,-0.0,0.0,-0.0,0.0993015037907923,0.09439880485907874,0.09121268602999251,0.011470773965662985,-0.0,0.09999909167522358,-0.0,0.0,0.004013327686258879,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.04391204065438403,-0.0,-0.0,-0.0,-0.0,0.0906281732694556,0.05937127662891759,-0.0,0.02427324710653504,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.06877795013987767,-0.0,-0.0,0.0060730912308671,0.005348851912268099,0.005977417685357708,-0.0,0.09152978054104649,0.0,0.0,0.0,0.0,0.0
2012-04-18,0.0,0.0,0.09740101529935642,9.182637581604582e-07,0.0,0.0,0.09325672893321055,0.007219314095265836,0.0,0.0,0.0,0.0024875586879440667,0.0009547975105848146,0.0,0.0,0.0,0.10000135736790669,0.09013338899143486,0.09096200532761758,0.011746892003477985,0.0,0.09891304304570295,0.0,0.0,0.0040864474010411855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04383702115771909,0.0,0.0,0.0,0.0,0.09266839570203579,0.061298805139144055,0.0,0.0287668675097977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06791996859257513,0.0,0.0,0.005992109712835501,0.004406787031560983,0.005758314960972265,0.0,0.0921882632660584,0.0,0.0,0.0,0.0,0.0
2012-05-21,0.0,0.0,0.09641905839331276,8.464458058318666e-07,0.0,0.0,0.08898904960533335,0.006896761860198319,0.0,0.0,0.0,0.0023363028683946385,0.0009172185320613112,0.0,0.0,0.0,0.10000175271386301,0.0884717943991526,0.08561844789786283,0.012011523435192909,0.0,0.09721777042341984,0.0,0.0,0.004333372858947704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04346738907868896,0.0,0.0008590216511770029,0.0,0.0,0.09639379252610113,0.06418593444214087,0.0,0.03348311960834578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0636698249960468,0.0,0.0,0.005597879239589626,0.0058425805177356755,0.005977662628977913,0.0,0.09730889587765103,0.0,0.0,0.0,0.0,0.0
2012-06-22,0.0,0.0,0.09730562122732159,8.51507548210438e-07,0.0,0.0,0.09034104068534,0.006643933565246981,0.0,0.0,0.0,0.002334747774667065,0.0009359975426648711,0.0,0.0,0.0,0.10000102238417123,0.08577928456642041,0.08833208611842867,0.01237342954627555,0.0,0.09694937873222625,0.0,0.0,0.004461859533065707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044241477645468236,0.0,0.0008804877298789162,0.0,0.0,0.09619964211179934,0.06406431227270122,0.0,0.034932299180240045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059869394724204474,0.0,0.0,0.004761370108600214,0.005549068733036916,0.0058277602615675085,0.0,0.09821493404912651,0.0,0.0,0.0,0.0,0.0
2012-07-26,-0.0,-0.0,0.09582059125102588,8.650193914445493e-07,0.0,0.0,0.08686241777608683,0.00663663222293939,0.0,0.0,0.0,0.0022858415253970994,0.0009334060356307215,0.0,0.0,-0.0,0.09999942690859977,0.09133218376971236,0.08745121465629399,0.012295733418804305,-0.0,0.09631046899279638,-0.0,0.0,0.004545052110123022,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.04429325826000697,-0.0,0.0032799050952452336,-0.0,-0.0,0.09460563987099621,0.06346949881970324,-0.0,0.03596346415918544,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.059343952939257115,-0.0,-0.0,0.005150394692297822,0.006264663835338297,0.00637686951578531,-0.0,0.0967785191253833,0.0,0.0,0.0,0.0,0.0
2012-08-28,0.0,0.0,0.09806325095545816,9.122592648744835e-07,-0.0,-0.0,0.0875627123756876,0.007014754326905526,-0.0,-0.0,-0.0,0.0022582717935201763,0.0009546558381963824,-0.0,0.0,0.0,0.09880174802996203,0.0929788018301747,0.08886325236915976,0.012243951889481665,0.0,0.09715366715840305,0.0,0.0,0.004312339850208512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04450370506748149,0.0,0.0032741566538961467,0.0,0.0,0.09224721400930269,0.061730794833392416,0.0,0.03376049524531906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06475687157885747,0.0,0.0,0.005372488373622839,0.005067856699499736,0.00632922609995127,0.0,0.09274887276225435,0.0,0.0,0.0,0.0,0.0
2012-10-01,-0.0,-0.0,0.0991516889501835,9.34695726742363e-07,0.0,0.0,0.08518559572459944,0.00728990388504705,0.0,0.0,0.0,0.002319070286658646,0.0009565968387502194,0.0,0.0,-0.0,0.09846947212888153,0.09356941153546625,0.09053667373982924,0.012557667479162902,-0.0,0.09632468241031668,-0.0,0.0,0.004218980233594641,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.04492365564352156,-0.0,0.004247334233114143,-0.0,-0.0,0.09042588943606489,0.06071259526649878,-0.0,0.0327957377450355,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.07105104820462,-0.0,-0.0,0.004125181849310743,0.006217617356075489,0.006052526907504638,-0.0,0.08886773545003747,0.0,0.0,0.0,0.0,0.0
