train_start,train_end,test_start,test_end,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,cumulative_nav,turnover,cost_fraction
2010-01-05,2011-01-03,2011-01-06,2011-02-04,0.013170560458078517,0.1700131553633586,0.07215785429366052,2.2127185303745605,-0.01469592729744662,1.0131705604580785,0.5,0.0009999999999999998
2010-02-08,2011-02-04,2011-02-09,2011-03-10,-0.004802069791670527,-0.05612698631595758,0.10968608104879952,-0.47159338617379326,-0.020582297991990517,0.9951979302083295,0.012003459820856037,2.4010461672952454e-05
2010-03-12,2011-03-10,2011-03-15,2011-04-12,0.016184816222883924,0.21247395130096258,0.0968891793129524,2.037609454704339,-0.012808437869935463,1.016184816222884,0.010417552237982497,2.0835001990503048e-05
2010-04-15,2011-04-12,2011-04-15,2011-05-16,-0.017231059910239432,-0.18825977332856902,0.13314505469176613,-1.499030182053946,-0.05291742993037063,0.9827689400897606,0.007469836891645819,1.4935281460636687e-05
2010-05-18,2011-05-16,2011-05-19,2011-06-17,-0.027898019972011467,-0.28789844734746994,0.11409886627472882,-2.9165332071886683,-0.04377913705562253,0.9721019800279885,0.010287002591004565,2.0573311316059413e-05
2010-06-21,2011-06-17,2011-06-22,2011-07-21,0.030746191238818277,0.4382052319814955,0.09426760081136278,3.9048901059277967,-0.017749376786819537,1.0307461912388183,0.002694474654094264,5.386630988137532e-06
2010-07-23,2011-07-21,2011-07-26,2011-08-23,-0.09701021887070294,-0.7061037621719418,0.29980797274166976,-3.9231494176527772,-0.11821103898157193,0.9029897811292971,0.006874350914909479,1.374834685081114e-05
2010-08-25,2011-08-23,2011-08-26,2011-09-26,-0.03167684661327763,-0.32041498235985666,0.19093336222757154,-1.9256463257362464,-0.07815603143163319,0.9683231533867224,0.008942717482802308,1.7884933806358458e-05
2010-09-28,2011-09-26,2011-09-29,2011-10-27,0.0804932279661319,1.5320051882219734,0.19114950212924933,4.964502192827953,-0.033817159692922316,1.080493227966132,0.01394753611823349,2.7892926739610233e-05
2010-10-29,2011-10-27,2011-11-01,2011-11-30,-0.0031193532065401097,-0.03679666533031867,0.20552689580169914,-0.07978967200636311,-0.06388099536317304,0.9968806467934599,0.0041743777062388295,8.34381464513378e-06
2010-12-02,2011-11-30,2011-12-05,2012-01-04,0.006502522675410738,0.08088231910860477,0.1486630062692768,0.5975232707186837,-0.03790602372567309,1.0065025226754107,0.0017313345678013911,3.4607405584586625e-06
2011-01-05,2012-01-04,2012-01-09,2012-02-07,0.04481273238304806,0.6922381311992287,0.06114673376420554,8.64258517660222,-0.007320724939605561,1.044812732383048,0.002374047750007149,4.748956489847748e-06
2011-02-08,2012-02-07,2012-02-10,2012-03-12,0.003638563742371703,0.044547233544851794,0.08381657951613228,0.5620147702807433,-0.025525605187364575,1.0036385637423717,0.0006900933907612639,1.371547649877934e-06
2011-03-14,2012-03-12,2012-03-15,2012-04-13,-0.02018432476977694,-0.21705258067929667,0.09750159257324834,-2.459586249394067,-0.03517341415129627,0.9798156752302231,0.003269906330503058,6.534299528695275e-06
2011-04-14,2012-04-13,2012-04-18,2012-05-16,-0.040053219705312615,-0.38769772132229985,0.06829523411994723,-7.141300753563775,-0.04457272317440164,0.9599467802946874,0.0027255830691078013,5.447312241983349e-06
2011-05-18,2012-05-16,2012-05-21,2012-06-19,0.026273425565691122,0.36507653241498583,0.10628297141333463,2.983139079471726,-0.02632516511489813,1.0262734255656911,0.002491449022550111,4.977798525971119e-06
2011-06-21,2012-06-19,2012-06-22,2012-07-23,0.017134388818770274,0.22613998200296148,0.09844869558122803,2.1207218530945617,-0.018891400945497017,1.0171343888187703,0.0010475618837207906,2.091156158723643e-06
2011-07-25,2012-07-23,2012-07-26,2012-08-23,0.031143751648754492,0.4448759871736645,0.07420825315840163,4.99990780281988,-0.013593374585750717,1.0311437516487545,0.0024187257861630917,4.831885058244724e-06
2011-08-25,2012-08-23,2012-08-28,2012-09-26,0.014123778330649817,0.18329107740330763,0.07606329879652926,2.2512459854978184,-0.015411125924501112,1.0141237783306498,2.6593524624269123e-06,4.336084801036933e-13
2011-09-28,2012-09-26,2012-10-01,2012-10-31,-0.00974449346201356,-0.11086605087110968,0.06993131082985324,-1.644879367358537,-0.022649983388850048,0.9902555065379864,0.0012222155208901618,2.440107454836184e-06
2011-10-31,2012-10-31,2012-11-05,2012-12-04,0.004770865906529975,0.05877677584946528,0.09150973133243245,0.6699931603742459,-0.03032707611813723,1.00477086590653,2.813225794013968e-06,4.403004460936807e-13
2011-12-02,2012-12-04,2012-12-07,2013-01-08,0.018185072913667222,0.24142563556332797,0.08695112547417244,2.5314623396048734,-0.015517126551741867,1.0181850729136672,3.703782990694368e-06,4.2587019819405363e-13
2012-01-06,2013-01-08,2013-01-11,2013-02-11,0.026259476280321215,0.36485389679158264,0.04392568220475198,7.107542845405654,-0.004989328299773832,1.0262594762803212,0.0024802438125149525,4.955517415350958e-06
2012-02-09,2013-02-11,2013-02-14,2013-03-15,0.02187042342120482,0.29643262499783174,0.07455954693798378,3.5211697126478265,-0.016810145958238487,1.0218704234212048,0.004284218756239773,8.563142454000652e-06
2012-03-14,2013-03-15,2013-03-20,2013-04-18,-0.013096018040577029,-0.14631271064112006,0.1152610053246088,-1.3139703934749796,-0.029366862437259722,0.986903981959423,0.005596455545447732,1.1190673886174029e-05
2012-04-17,2013-04-18,2013-04-23,2013-05-21,0.047825580622064434,0.7517331970397736,0.06571469868024123,8.573261474090538,-0.009087563935388787,1.0478255806220644,0.010283255779133978,2.0567017926116644e-05
2012-05-18,2013-05-21,2013-05-24,2013-06-24,-0.04692019150694704,-0.438239463880826,0.13525450711654688,-4.19083238443104,-0.04721745627013385,0.953079808493053,0.00838329550037905,1.6760253128771066e-05
2012-06-21,2013-06-24,2013-06-27,2013-07-26,0.0417485146581833,0.6336336813168941,0.06689276360560578,7.377744526733788,-0.011236808035671841,1.0417485146581833,0.007320977492813325,1.4642241276640245e-05
2012-07-25,2013-07-26,2013-07-31,2013-08-28,-0.012761580339872736,-0.14283470730815173,0.07765948485451603,-1.945184271340677,-0.027047109409302994,0.9872384196601273,0.007493601089096592,1.498303437539622e-05
2012-08-27,2013-08-28,2013-09-03,2013-10-01,0.02661488666175682,0.37053676682605796,0.07293585052868663,4.360739791634575,-0.018873368270142188,1.0266148866617568,0.002440263001758845,4.8732111276293425e-06
2012-09-28,2013-10-01,2013-10-04,2013-11-01,0.02690245414606185,0.3751507217610561,0.0812786206997984,3.9623897095762146,-0.011288790086494194,1.0269024541460618,0.004801116111829061,9.60989186029122e-06
2012-11-02,2013-11-01,2013-11-06,2013-12-05,0.0028471538578416222,0.03470597135108466,0.06503356049791587,0.5571543957273877,-0.012641107376475391,1.0028471538578416,0.007563548697383663,1.5122371606885734e-05
2012-12-06,2013-12-05,2013-12-10,2014-01-09,0.00895977599284925,0.112977108036459,0.06546905282326246,1.6679751480282605,-0.010272172280633707,1.0089597759928493,0.003377746373200364,6.7527017240248795e-06
2013-01-10,2014-01-09,2014-01-14,2014-02-12,-0.005665043014255966,-0.06590188937613306,0.10520805157035755,-0.595146099579991,-0.042081983867183315,0.994334956985744,0.004808730039025972,9.614745890564565e-06
2013-02-13,2014-02-12,2014-02-18,2014-03-18,0.01156769845109662,0.1479935160889243,0.06962760429981346,2.0175104852958516,-0.016216637822870972,1.0115676984510966,0.004161304660722355,8.319246091248414e-06
2013-03-19,2014-03-18,2014-03-21,2014-04-21,0.008390600954274907,0.10546619999345386,0.08034441796227125,1.2884940080087743,-0.024258693724838465,1.008390600954275,0.008442744115277404,1.6889107691288806e-05
2013-04-22,2014-04-21,2014-04-24,2014-05-22,0.00027725131549982684,0.003332093784796264,0.05390139252853528,0.088684605162805,-0.010881980462003837,1.0002772513154998,0.0023895900035982754,4.7744966849242705e-06
2013-05-23,2014-05-22,2014-05-28,2014-06-25,0.025329547001552655,0.3500867400103409,0.04281837331564981,7.03584667354443,-0.007199602171779729,1.0253295470015527,0.002784081092293737,5.5622575682616336e-06
2013-06-26,2014-06-25,2014-06-30,2014-07-29,-0.009880292766210608,-0.11232813101450867,0.05237814133493729,-2.248108695509106,-0.01603208078809626,0.9901197072337894,0.00561236588306119,1.1219467788733627e-05
2013-07-30,2014-07-29,2014-08-01,2014-08-29,0.023145504617732682,0.31597853410348975,0.052171013167700786,5.292035240763263,-0.008904118068626454,1.0231455046177327,0.0008477715130481918,1.6907293315390386e-06
2013-08-30,2014-08-29,2014-09-04,2014-10-02,-0.02895933657389438,-0.29717208530185546,0.06465465213717608,-5.41806755737376,-0.029320417337441063,0.9710406634261056,0.004961212238145207,9.917724006985093e-06
2013-10-03,2014-10-02,2014-10-07,2014-11-04,0.016564051735839413,0.21791498702015066,0.1141404576950146,1.7849810900571261,-0.031241022484327807,1.0165640517358394,0.003007025330479289,6.01802674711534e-06
2013-11-05,2014-11-04,2014-11-07,2014-12-08,-0.005983189830098046,-0.06948206634352516,0.05735417714004953,-1.2266549778696825,-0.016551762181297724,0.994016810169902,0.004485671723124479,8.968890722786117e-06
