date,turnover
2021-02-04,0.0006184250996570291
2021-02-09,0.0006130149583444915
2021-02-10,0.0005962080413622491
2021-02-11,0.0005959115421598506
2021-02-12,0.000566815885052382
2021-02-16,0.0005358013703956506
2021-02-17,0.0005378599591953787
2021-02-18,0.0005329578819678139
2021-02-19,0.000500989480920313
2021-02-22,0.0005016239256324696
2021-02-23,0.0004913553636076177
2021-02-24,0.0004949836883602134
2021-02-25,0.0005716281840551158
2021-02-26,0.0005961117542899077
2021-03-01,0.0006587196791504342
2021-03-02,0.0006024265887951062
2021-03-03,0.0005924113971433228
2021-03-04,0.0005898342719386605
2021-03-05,0.0005786152381735347
2021-03-08,0.00054813887494505
2021-03-09,0.0005871100392017671
2021-03-10,0.0005919476321227404
2021-03-15,0.0006012735723287219
2021-03-16,0.0006021831362276905
2021-03-17,0.0006065379852143914
2021-03-18,0.0006492357594601233
2021-03-19,0.0006582913506643849
2021-03-22,0.0006490528968369201
2021-03-23,0.0006743756376825415
2021-03-24,0.0006847763389562758
2021-03-25,0.0006710221552004581
2021-03-26,0.0007157682411576952
2021-03-29,0.0006879368644745153
2021-03-30,0.000606225437601702
2021-03-31,0.0005823386104581859
2021-04-01,0.0005638125305151311
2021-04-05,0.0005762010577222586
2021-04-06,0.0005526099786309676
2021-04-07,0.0005149942606457872
2021-04-08,0.0004841609961075473
2021-04-09,0.0004757977166329929
2021-04-12,0.0004224553154720696
2021-04-13,0.0004283060317481234
2021-04-16,0.0004143618267916305
2021-04-19,0.0004275200879989372
2021-04-20,0.00043147431493099865
2021-04-21,0.00039860715753924243
2021-04-22,0.00040650699639173247
2021-04-23,0.00042958725281415296
2021-04-26,0.00040770952601549345
2021-04-27,0.0003881850913759706
2021-04-28,0.0003814610490432144
2021-04-29,0.0003276319819591891
2021-04-30,0.0003425229225121438
2021-05-03,0.0003670399498457924
2021-05-04,0.00036937090704790857
2021-05-05,0.0003448374506086057
2021-05-06,0.0003468146436938457
2021-05-07,0.0003790998737030372
2021-05-10,0.00039086162976781905
2021-05-11,0.0003828104664363257
2021-05-12,0.00045692935784279046
2021-05-13,0.00045919045850090716
2021-05-14,0.00048220676818373716
2021-05-19,0.0005229131408545852
2021-05-20,0.0005400002667727953
2021-05-21,0.000545505101961639
2021-05-24,0.0005599390673724995
2021-05-25,0.0005507078846521891
2021-05-26,0.0005416987485620319
2021-05-27,0.0005314092106886138
2021-05-28,0.0005336063688841919
2021-06-01,0.0005538250119797199
2021-06-02,0.0005729958052502047
2021-06-03,0.0005762322565330448
2021-06-04,0.0005708102746090205
2021-06-07,0.00055449888866767
2021-06-08,0.000541141542958371
2021-06-09,0.0005120991910032957
2021-06-10,0.0004917462382758242
2021-06-11,0.0004663852230427757
2021-06-14,0.0004562420630414252
2021-06-15,0.00039287266685573047
2021-06-16,0.0004263128548222143
2021-06-17,0.0004031552026474104
2021-06-22,0.00036086263668398336
2021-06-23,0.0003273303953296366
2021-06-24,0.00033341802329410713
2021-06-25,0.00029209330740046093
2021-06-28,0.0002977811060162714
2021-06-29,0.0002863903117223524
2021-06-30,0.00027806783104365144
2021-07-01,0.0002751653615717885
2021-07-02,0.0002647491708177052
2021-07-06,0.0002609401700468004
2021-07-07,0.0002490489572991938
2021-07-08,0.00025970668642157237
2021-07-09,0.0002985251661487238
2021-07-12,0.00030219420749485424
2021-07-13,0.0003272993697792728
2021-07-14,0.0003269035452238485
2021-07-15,0.00033858899287829045
2021-07-16,0.00035449837877165615
2021-07-19,0.0004024192754131143
2021-07-20,0.00040255098467863426
2021-07-21,0.00040852511848900666
2021-07-26,0.0004371364509792362
2021-07-27,0.0004565988705170866
2021-07-28,0.0004500837525219361
2021-07-29,0.0004644230923539409
2021-07-30,0.00046667285633362137
2021-08-02,0.0004669523684115599
2021-08-03,0.000477859176508489
2021-08-04,0.0004889216426189833
2021-08-05,0.0004916144163753024
2021-08-06,0.0004761730726768024
2021-08-09,0.00046994711434843845
2021-08-10,0.00043874797509065033
2021-08-11,0.00042445705475471036
2021-08-12,0.0004264435716702518
2021-08-13,0.0004162259571293409
2021-08-16,0.00040587044127697884
2021-08-17,0.0004288595440372918
2021-08-18,0.00043829599843261274
2021-08-19,0.00038837388033951663
2021-08-20,0.0003695624750898966
2021-08-23,0.00036754139605597945
2021-08-26,0.0003568902730283432
2021-08-27,0.0003859123111941461
2021-08-30,0.0003692880569883714
2021-08-31,0.0003533344916174607
2021-09-01,0.00035732938158941353
2021-09-02,0.0003653929396937092
2021-09-03,0.00036363277000421975
2021-09-07,0.00039432050859752833
2021-09-08,0.0003777624573635274
2021-09-09,0.0003850684004840949
2021-09-10,0.0004108266832130422
2021-09-13,0.0004195528135543565
2021-09-14,0.0004031322652982285
2021-09-15,0.0004237956212295918
2021-09-16,0.0004314821490134179
2021-09-17,0.0004669888941324446
2021-09-20,0.0004983029488253189
2021-09-21,0.0004705302875368779
2021-09-22,0.0004972813105386407
2021-09-23,0.0005135901551664969
2021-09-24,0.0004981519185103189
2021-09-29,0.0004822869485572908
2021-09-30,0.00043835143409730467
2021-10-01,0.0004753030410115184
2021-10-04,0.00048790284488398766
2021-10-05,0.0004923999547258957
2021-10-06,0.00048142071790424287
2021-10-07,0.0004887151577159605
2021-10-08,0.00044821810119729003
2021-10-11,0.0004620337425027176
2021-10-12,0.00045109859651231137
2021-10-13,0.00045717543146498905
2021-10-14,0.0004915396362318771
2021-10-15,0.0004962935614360714
2021-10-18,0.00047662647081716706
2021-10-19,0.00047606865878974374
2021-10-20,0.0004701908491379243
