date,turnover
2021-02-04,0.0006389041193470471
2021-02-09,0.0006459956631378429
2021-02-10,0.0006688890492002429
2021-02-11,0.0006831444298268819
2021-02-12,0.0005784544526274762
2021-02-16,0.0005584963720139381
2021-02-17,0.0005679309984773563
2021-02-18,0.0005620886557886114
2021-02-19,0.000525006253048541
2021-02-22,0.0005562286710017195
2021-02-23,0.0006114320115598152
2021-02-24,0.0005707069286744639
2021-02-25,0.0006269400019465291
2021-02-26,0.0006317185355099546
2021-03-01,0.0006506738447478919
2021-03-02,0.0006473816741810276
2021-03-03,0.0006233106993497132
2021-03-04,0.0007086090741337508
2021-03-05,0.0007405786920026686
2021-03-08,0.0007182770371538187
2021-03-09,0.0008002601559628489
2021-03-10,0.0007968661448146114
2021-03-15,0.0007870860237115248
2021-03-16,0.0007678358058851562
2021-03-17,0.000751899234001629
2021-03-18,0.0008305993565579362
2021-03-19,0.0008672980133776706
2021-03-22,0.0008608127010630004
2021-03-23,0.0008991320029890743
2021-03-24,0.0009051232368671632
2021-03-25,0.0008627421011084853
2021-03-26,0.0008295578971735038
2021-03-29,0.0008193311848891168
2021-03-30,0.000731018647672508
2021-03-31,0.0007662178870484877
2021-04-01,0.0007567219990210029
2021-04-05,0.0007581268633440471
2021-04-06,0.000758301017946414
2021-04-07,0.0006979550352125592
2021-04-08,0.0006923201263602804
2021-04-09,0.0006631554658436572
2021-04-12,0.0005758518931595063
2021-04-13,0.0006246516950671824
2021-04-16,0.000632774861684599
2021-04-19,0.0006687683426527739
2021-04-20,0.0006752306865022257
2021-04-21,0.000623197005384119
2021-04-22,0.0006269168324367542
2021-04-23,0.0006463830255218066
2021-04-26,0.0006473677016261262
2021-04-27,0.000623748340094477
2021-04-28,0.0006351319753708105
2021-04-29,0.0005990333693491057
2021-04-30,0.0006225702458303523
2021-05-03,0.0006292792223320509
2021-05-04,0.0006225304524426191
2021-05-05,0.0006248493422145729
2021-05-06,0.0006323906296030457
2021-05-07,0.0006719593489660604
2021-05-10,0.0007352423862506113
2021-05-11,0.0007043179776646056
2021-05-12,0.0008380501664342584
2021-05-13,0.0008799510342180581
2021-05-14,0.0008989579473480528
2021-05-19,0.0009601532739143267
2021-05-20,0.0009138952357596819
2021-05-21,0.0009062079350955377
2021-05-24,0.0009600667644649828
2021-05-25,0.0009680561094433772
2021-05-26,0.0009434525613464957
2021-05-27,0.0009384445224788716
2021-05-28,0.0009692873300676195
2021-06-01,0.0010009271257015032
2021-06-02,0.0010239769479117528
2021-06-03,0.0009912498075121939
2021-06-04,0.0009960783214512413
2021-06-07,0.0009720187248503005
2021-06-08,0.000945247460104968
2021-06-09,0.0009309546707871799
2021-06-10,0.0008805713029189814
2021-06-11,0.0007965544549884504
2021-06-14,0.0007890161990920499
2021-06-15,0.0006572048024058505
2021-06-16,0.0006498991491766001
2021-06-17,0.0006795874022418367
2021-06-22,0.0006123474707907876
2021-06-23,0.0006039730330285419
2021-06-24,0.0006245683514151481
2021-06-25,0.0005659272656944767
2021-06-28,0.0005461491559729432
2021-06-29,0.0005361787589310033
2021-06-30,0.00048816324380178335
2021-07-01,0.00045399677796347144
2021-07-02,0.00041134738205209423
2021-07-06,0.00045035007624181855
2021-07-07,0.0004704330725700566
2021-07-08,0.0004954722697275853
2021-07-09,0.0005424390807786566
2021-07-12,0.0005522337345058142
2021-07-13,0.0005473096337376072
2021-07-14,0.0005417478420305653
2021-07-15,0.0005643974808717091
2021-07-16,0.0005777863178515562
2021-07-19,0.0006869168622720924
2021-07-20,0.0006950777904601072
2021-07-21,0.0006757606701600667
2021-07-26,0.0007676585278552034
2021-07-27,0.0007977392959472023
2021-07-28,0.0007812385457182262
2021-07-29,0.0007738168141308309
2021-07-30,0.0007668722029514976
2021-08-02,0.0007709331701505519
2021-08-03,0.0007605065944671038
2021-08-04,0.0007862932204219034
2021-08-05,0.0008254884646630314
2021-08-06,0.0007858309882678757
2021-08-09,0.0007727271016600061
2021-08-10,0.0007625168063686123
2021-08-11,0.0007426049004683024
2021-08-12,0.0007369406351997076
2021-08-13,0.00072360956307732
2021-08-16,0.0007271928445939215
2021-08-17,0.000742812967163689
2021-08-18,0.0007783447921650937
2021-08-19,0.0006685102601844919
2021-08-20,0.0006219949504689543
2021-08-23,0.0006004106258969276
2021-08-26,0.0005421216012722872
2021-08-27,0.0005767313180855937
2021-08-30,0.000560827443837381
2021-08-31,0.0005555045808472566
2021-09-01,0.0005536257942205809
2021-09-02,0.00056140851153094
2021-09-03,0.0005766394972404533
2021-09-07,0.0006456451289176475
2021-09-08,0.0006094810948567844
2021-09-09,0.0006184570750783115
2021-09-10,0.00063200751664601
2021-09-13,0.0006017285741876115
2021-09-14,0.0005655008614531871
2021-09-15,0.00063370285024646
2021-09-16,0.0006493373930663846
2021-09-17,0.0006936511979763638
2021-09-20,0.0007422083972833453
2021-09-21,0.0007219517286530953
2021-09-22,0.0007791819796705638
2021-09-23,0.0008329039046452442
2021-09-24,0.0008034730100667809
2021-09-29,0.0007680281034072391
2021-09-30,0.000711089955764878
2021-10-01,0.0008002023447523744
2021-10-04,0.0008195453602126467
2021-10-05,0.0008471860250215832
2021-10-06,0.0008193027901917319
2021-10-07,0.0008167090403899471
2021-10-08,0.0007239119005120539
2021-10-11,0.0007269423046764804
2021-10-12,0.0006975038437924948
2021-10-13,0.0007084839499845029
2021-10-14,0.0007905944855758719
2021-10-15,0.0008100842761913224
2021-10-18,0.0007399036039552225
2021-10-19,0.0007564690005995796
2021-10-20,0.00078489704604811
2021-10-21,0.000725706055779311
