date,turnover
2021-09-02,5.2145772435721976e-05
2021-09-03,5.072282018895579e-05
2021-09-07,5.4392946290080546e-05
2021-09-08,5.7984408744650545e-05
2021-09-09,5.68841995753777e-05
2021-09-10,5.8183914864338646e-05
2021-09-13,6.069028929403769e-05
2021-09-14,5.906402841143817e-05
2021-09-15,5.896378079495679e-05
2021-09-16,5.930370212478251e-05
2021-09-17,6.129892173357774e-05
2021-09-20,6.1016340102425355e-05
2021-09-21,5.8965453366112476e-05
2021-09-22,6.02726284710258e-05
2021-09-23,6.56980039538639e-05
2021-09-24,6.720031106428629e-05
2021-09-29,7.235003285063878e-05
2021-09-30,6.67828142334202e-05
2021-10-01,7.286196663437972e-05
2021-10-04,7.467433555883068e-05
2021-10-05,7.555818277268496e-05
2021-10-06,7.464699298081306e-05
2021-10-07,7.520525811557355e-05
2021-10-08,7.275838942133829e-05
2021-10-11,7.22996087248502e-05
2021-10-12,7.549826033857496e-05
2021-10-13,7.081845639059521e-05
2021-10-14,7.581055842919521e-05
2021-10-15,7.984504146446997e-05
2021-10-18,8.439459333277547e-05
2021-10-19,8.351990855401547e-05
2021-10-20,7.980162568844496e-05
2021-10-21,8.799874451774259e-05
2021-10-22,9.066803325350074e-05
2021-10-25,9.413799254282692e-05
2021-10-26,8.857745173045311e-05
2021-10-27,8.887181469862312e-05
2021-11-01,8.576994544526979e-05
2021-11-02,9.279664260758074e-05
2021-11-03,8.804600866086787e-05
2021-11-04,9.158598502863883e-05
2021-11-05,9.80797494352155e-05
2021-11-08,0.00010475487983509835
2021-11-09,0.00010929744238324265
2021-11-10,0.00011688947754840835
2021-11-11,0.00011520931151360026
2021-11-12,0.00011261082240814216
2021-11-15,0.0001139882188194
2021-11-16,0.00010570460127943048
2021-11-17,0.00010356290258721906
2021-11-18,9.91896152613719e-05
2021-11-19,9.971135561273997e-05
2021-11-22,0.00010748636494726283
2021-11-23,0.0001020823298129062
2021-11-24,0.0001026745053050514
2021-11-26,9.963717436836047e-05
2021-11-29,9.962423901690332e-05
2021-11-30,0.00010078157774858474
2021-12-03,0.00010229002624030807
2021-12-06,9.330786566402616e-05
2021-12-07,8.963931962413949e-05
2021-12-08,8.42296212504295e-05
2021-12-09,7.642666078375894e-05
2021-12-10,7.185151186773274e-05
2021-12-13,6.94355788066294e-05
2021-12-14,5.9935897789747027e-05
2021-12-15,5.758584597186321e-05
2021-12-16,5.815488503221703e-05
2021-12-17,5.744646656832274e-05
2021-12-20,6.127971059137179e-05
2021-12-21,5.793313249320359e-05
2021-12-22,6.210085508947837e-05
2021-12-23,6.0509300426892645e-05
2021-12-27,5.538985147425504e-05
2021-12-28,5.207657006775217e-05
2021-12-29,5.4676421686658834e-05
2021-12-30,5.614558017338979e-05
2021-12-31,5.78735383769455e-05
2022-01-03,5.9775654111820274e-05
2022-01-06,5.9814765270302646e-05
2022-01-07,6.403556567380697e-05
2022-01-10,6.714165438246648e-05
2022-01-11,6.765486460901982e-05
2022-01-12,6.825839118276229e-05
2022-01-13,6.574955287397269e-05
2022-01-14,6.86404750147446e-05
2022-01-18,8.099460548294127e-05
2022-01-19,8.229838732997128e-05
2022-01-20,7.841424690253649e-05
2022-01-21,7.905336769183507e-05
2022-01-24,7.480049199763514e-05
2022-01-25,7.866367037913715e-05
2022-01-26,8.547212063950667e-05
2022-01-27,8.660157356482096e-05
2022-01-28,8.922755221311714e-05
2022-01-31,9.211565029473715e-05
2022-02-01,8.886177716186859e-05
2022-02-02,8.937722552807048e-05
2022-02-03,0.00010051966913478048
2022-02-04,0.00010859806253121715
2022-02-09,0.00011141094835633857
2022-02-10,0.00013715536560485382
2022-02-11,0.00014813208530369573
2022-02-14,0.00015722638489935002
2022-02-15,0.00015799088423049663
2022-02-16,0.00016407242879147053
2022-02-17,0.00015861578846419384
2022-02-18,0.00014839912058049338
2022-02-22,0.00015062113192697052
2022-02-23,0.00015689945352910533
2022-02-24,0.00016033047231253005
2022-02-25,0.0001619976300482138
2022-02-28,0.000173347244365791
2022-03-01,0.00018351305081369906
2022-03-02,0.00019851130899642286
2022-03-03,0.00019277580389198665
2022-03-04,0.00019803108401386096
2022-03-07,0.00020825427178239715
2022-03-08,0.0002198546378421481
2022-03-09,0.00021114947142745571
2022-03-10,0.00020972886558377098
2022-03-15,0.00020458952034202476
2022-03-16,0.0001829310199464081
2022-03-17,0.0001776985719606357
2022-03-18,0.0001689883442763938
2022-03-21,0.00018972738017117763
2022-03-22,0.00018543713650627812
2022-03-23,0.0001878907746516943
2022-03-24,0.0001871911524236319
2022-03-25,0.00020034540380771572
2022-03-28,0.0001941822067933351
2022-03-29,0.00019698785890598182
2022-03-30,0.00019810964854230514
2022-03-31,0.0001835842743850047
2022-04-01,0.0001700587925148599
2022-04-04,0.00016136666585856417
2022-04-05,0.00018305788047401036
2022-04-06,0.00018107401007146705
2022-04-07,0.00016833607019642392
2022-04-08,0.0001590644556439692
2022-04-11,0.00016247376642074772
2022-04-12,0.00016302723398154776
2022-04-18,0.00016333930920265342
2022-04-19,0.00016905036730939727
2022-04-20,0.00016856300406137634
2022-04-21,0.00017784416185382535
2022-04-22,0.0001677145534109525
2022-04-25,0.00017506280925389344
2022-04-26,0.00017188972469663391
2022-04-27,0.00017037007643736727
2022-04-28,0.0001574140307580582
